province_name,province_id,owner_name_1763,owner_tag_1763,historical_justification_1763_with_source,current_owner_tag,status,confidence
Pirttikaarre,1,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Turkana,2,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Bampur,3,Balochistan,BLO,"Central Asia 1763 (khanates / Qing frontier): province held by Balochistan (BLO) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",BLO,OWNED,high
Fuerte de los Sunchales,4,League Of The Free Peoples,LFP,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by League Of The Free Peoples (LFP) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",LFP,OWNED,high
Eslamshahr,5,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Sedam,6,Hyderabad,HYD,"South Asia 1763 (post-Mughal successors + EIC): province held by Hyderabad (HYD) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",HYD,OWNED,high
Ereymentau,7,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Remda,8,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Grodno,9,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Idre,10,Sweden,SWE,"Scandinavia 1763 (Sweden/Denmark-Norway): province held by Sweden (SWE) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SWE,OWNED,high
Almetievsk,11,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Dombås,12,Norway,NOR,"Scandinavia 1763 (Sweden/Denmark-Norway): province held by Norway (NOR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",NOR,OWNED,high
Careyes,13,New Spain,NSP,"North America 1763 (post-Paris colonies + Native nations): province held by New Spain (NSP) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",NSP,OWNED,high
Strajny Kut,14,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Elwa,15,Livonia,LIV,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Livonia (LIV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIV,OWNED,high
Mantua,16,Lombardy Venetia,LBV,"Italy 1763 (pre-unification states + republics): province held by Lombardy Venetia (LBV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LBV,OWNED,high
