key	query	source	status
qing_steel_works_building	Hanyang Iron Works	search:'Hanyang Iron Works' -> File:Tcitp d716 hanyang iron and steel works and their chief officials.jpg	OK
qing_textile_mill_building	cotton mill 19th century interior	search:'cotton mill 19th century interior' -> File:Cannelton Cotton Mill 065589pr.jpg	OK
qing_machine_works_building	Jiangnan Arsenal Shanghai	search:'Jiangnan Arsenal Shanghai' -> File:上海起义军攻占江南制造局.jpg	OK
qing_navy_yard_building	Foochow Arsenal	search:'Foochow Arsenal' -> File:Sketch of Foochow Arsenal, 1884.jpg	OK
qing_coal_mine_building	['colliery coal mine workers historic', 'Chinese coal mine miners historic photograph', 'coal mine surface buildings historic photograph']	search:'colliery coal mine workers historic' -> File:Dortmund - Kolonie Landwehr, Rhader Weg - Flickr - Rutger van der Maar.jpg	OK
qing_telegraph_building	telegraph office 19th century	search:'telegraph office 19th century' -> File:County Fire Office, London, first half of the 19th century. The fire office building incorporating the Provident Life Office, Regent Street MoL.jpg	OK
qing_tongwen_guan_building	Zongli Yamen Qing dynasty	search:'Zongli Yamen Qing dynasty' -> File:Zongli Yamen members 1894.jpg	OK
qing_imperial_university_building	Imperial University of Peking	search:'Imperial University of Peking' -> File:Entrance to the Imperial University of Peking.jpg	OK
IND_coal_mine_building	['colliery winding tower headframe', 'coal mine pit head wheel']	search:'colliery winding tower headframe' -> File:Headframe, Francis Colliery - geograph.org.uk - 100246.jpg	OK
IND_blast_furnace_building	blast furnace 19th century ironworks	search:'blast furnace 19th century ironworks' -> File:Neath Abbey Ironworks blast furnace - geograph.org.uk - 342088.jpg	OK
IND_electric_plant_building	electric power station 1890s dynamo	search:'electric power station 1890s dynamo' -> File:Edison Central Station Dynamos and Engine.jpg	OK
IND_gasworks_building	Victorian gasworks gasometer	search:'Victorian gasworks gasometer' -> File:Salford Gasworks, Gasometer Detail - geograph.org.uk - 4406506.jpg	OK
qing_coastal_battery_building	['Bogue forts cannon', 'Dagu Forts cannon', 'Chinese fort cannon Opium War historic photograph']	search:'Bogue forts cannon' -> File:China's open door; a sketch of Chinese life and history (1900) (14577494029).jpg	OK
qing_mint_building	['ancient Chinese bronze coins', 'Chinese cash coins pile photograph']	search:'ancient Chinese bronze coins' -> File:Ancient Chinese Writing on a Circular Coin.jpg	OK
qing_river_conservancy_building	['Grand Canal China historic photograph', 'Chinese river embankment stone historic', 'Yellow River dike flood control China']	search:'Grand Canal China historic photograph' -> File:Drawing of the Grand Canal in Peking.jpg	OK
qing_tribute_depot_building	['Chinese warehouse building historic photograph', 'junk boat Grand Canal China historic']	search:'Chinese warehouse building historic photograph' -> File:Warehouse of the Jiangnan Building.jpg	OK
qing_likin_station_building	['Chinese Maritime Customs Service building', 'Shanghai Customs House']	search:'Chinese Maritime Customs Service building' -> File:Residence on No. 45, Route Pichon.jpg	OK
qing_imperial_bank_building	['HSBC Building Shanghai Bund', 'bank building Shanghai Bund historic']	search:'HSBC Building Shanghai Bund' -> File:HSBC building in the Bund, Shanghai.jpg	OK
qing_green_standard_post_building	['Qing dynasty soldier photograph', 'Chinese soldiers Qing army historic photograph']	search:'Qing dynasty soldier photograph' -> File:Soldiers of the Qing Dynasty’s New Army.jpg	OK
qing_community_granary_building	['traditional Chinese barn building', 'Chinese granary storehouse historic photograph']	search:'traditional Chinese barn building' -> File:穀亭畚模型.jpg	OK
qing_selfstr_wonder_building	Jiangnan Arsenal Shanghai	search:'Jiangnan Arsenal Shanghai' -> File:上海起义军攻占江南制造局.jpg	OK
qing_foreign_works_building	19th century arsenal machine works China	ERR	no image found for query: 19th century arsenal machine works China
